Department_Name	Shift_Date	Shift_Type	Staff_Category	Staff_Subclass	Total_Assigned_Staff
Γαστρεντερολογικό Τμήμα	2026-01-01	Morning	Admin	Βοηθός Βάρδιας	2
Γαστρεντερολογικό Τμήμα	2026-01-01	Morning	Doctor	Γυναικολόγος	3
Γαστρεντερολογικό Τμήμα	2026-01-01	Morning	Doctor	Δερματολόγος	1
Γαστρεντερολογικό Τμήμα	2026-01-01	Morning	Doctor	Ουρολόγος	1
Γαστρεντερολογικό Τμήμα	2026-01-01	Morning	Doctor	Παθολόγος	3
Γαστρεντερολογικό Τμήμα	2026-01-01	Morning	Doctor	Ψυχίατρος	1
Γαστρεντερολογικό Τμήμα	2026-01-01	Morning	Nurse	Assistant	2
Γαστρεντερολογικό Τμήμα	2026-01-01	Morning	Nurse	Head	2
Γαστρεντερολογικό Τμήμα	2026-01-01	Morning	Nurse	Nurse	8
Γαστρεντερολογικό Τμήμα	2026-01-01	Evening	Admin	Βοηθός Βάρδιας	2
Γαστρεντερολογικό Τμήμα	2026-01-01	Evening	Doctor	Νευρολόγος	1
Γαστρεντερολογικό Τμήμα	2026-01-01	Evening	Doctor	Ορθοπεδικός	2
Γαστρεντερολογικό Τμήμα	2026-01-01	Evening	Doctor	Παθολόγος	3
Γαστρεντερολογικό Τμήμα	2026-01-01	Evening	Doctor	Παιδίατρος	1
Γαστρεντερολογικό Τμήμα	2026-01-01	Evening	Nurse	Assistant	2
Γαστρεντερολογικό Τμήμα	2026-01-01	Evening	Nurse	Head	2
Γαστρεντερολογικό Τμήμα	2026-01-01	Evening	Nurse	Nurse	3
Γαστρεντερολογικό Τμήμα	2026-01-02	Morning	Admin	Βοηθός Βάρδιας	2
Γαστρεντερολογικό Τμήμα	2026-01-02	Morning	Doctor	Γυναικολόγος	3
Γαστρεντερολογικό Τμήμα	2026-01-02	Morning	Doctor	Δερματολόγος	1
Γαστρεντερολογικό Τμήμα	2026-01-02	Morning	Doctor	Ουρολόγος	1
Γαστρεντερολογικό Τμήμα	2026-01-02	Morning	Doctor	Παθολόγος	3
Γαστρεντερολογικό Τμήμα	2026-01-02	Morning	Doctor	Ψυχίατρος	1
Γαστρεντερολογικό Τμήμα	2026-01-02	Morning	Nurse	Assistant	2
Γαστρεντερολογικό Τμήμα	2026-01-02	Morning	Nurse	Head	2
Γαστρεντερολογικό Τμήμα	2026-01-02	Morning	Nurse	Nurse	8
Γαστρεντερολογικό Τμήμα	2026-01-02	Evening	Admin	Βοηθός Βάρδιας	2
Γαστρεντερολογικό Τμήμα	2026-01-02	Evening	Doctor	Νευρολόγος	1
Γαστρεντερολογικό Τμήμα	2026-01-02	Evening	Doctor	Ορθοπεδικός	2
Γαστρεντερολογικό Τμήμα	2026-01-02	Evening	Doctor	Παθολόγος	3
Γαστρεντερολογικό Τμήμα	2026-01-02	Evening	Doctor	Παιδίατρος	1
Γαστρεντερολογικό Τμήμα	2026-01-02	Evening	Nurse	Assistant	2
Γαστρεντερολογικό Τμήμα	2026-01-02	Evening	Nurse	Head	2
Γαστρεντερολογικό Τμήμα	2026-01-02	Evening	Nurse	Nurse	3
Γαστρεντερολογικό Τμήμα	2026-01-03	Morning	Admin	Βοηθός Βάρδιας	2
Γαστρεντερολογικό Τμήμα	2026-01-03	Morning	Doctor	Γυναικολόγος	3
Γαστρεντερολογικό Τμήμα	2026-01-03	Morning	Doctor	Δερματολόγος	1
Γαστρεντερολογικό Τμήμα	2026-01-03	Morning	Doctor	Ουρολόγος	1
Γαστρεντερολογικό Τμήμα	2026-01-03	Morning	Doctor	Παθολόγος	3
Γαστρεντερολογικό Τμήμα	2026-01-03	Morning	Doctor	Ψυχίατρος	1
Γαστρεντερολογικό Τμήμα	2026-01-03	Morning	Nurse	Assistant	2
Γαστρεντερολογικό Τμήμα	2026-01-03	Morning	Nurse	Head	2
Γαστρεντερολογικό Τμήμα	2026-01-03	Morning	Nurse	Nurse	8
Γαστρεντερολογικό Τμήμα	2026-01-03	Evening	Admin	Βοηθός Βάρδιας	2
Γαστρεντερολογικό Τμήμα	2026-01-03	Evening	Doctor	Νευρολόγος	1
Γαστρεντερολογικό Τμήμα	2026-01-03	Evening	Doctor	Ορθοπεδικός	2
Γαστρεντερολογικό Τμήμα	2026-01-03	Evening	Doctor	Παθολόγος	3
Γαστρεντερολογικό Τμήμα	2026-01-03	Evening	Doctor	Παιδίατρος	1
Γαστρεντερολογικό Τμήμα	2026-01-03	Evening	Nurse	Assistant	2
Γαστρεντερολογικό Τμήμα	2026-01-03	Evening	Nurse	Head	2
Γαστρεντερολογικό Τμήμα	2026-01-03	Evening	Nurse	Nurse	3
Γαστρεντερολογικό Τμήμα	2026-01-04	Morning	Admin	Βοηθός Βάρδιας	2
Γαστρεντερολογικό Τμήμα	2026-01-04	Morning	Doctor	Γυναικολόγος	3
Γαστρεντερολογικό Τμήμα	2026-01-04	Morning	Doctor	Δερματολόγος	1
Γαστρεντερολογικό Τμήμα	2026-01-04	Morning	Doctor	Ουρολόγος	1
Γαστρεντερολογικό Τμήμα	2026-01-04	Morning	Doctor	Παθολόγος	3
Γαστρεντερολογικό Τμήμα	2026-01-04	Morning	Doctor	Ψυχίατρος	1
Γαστρεντερολογικό Τμήμα	2026-01-04	Morning	Nurse	Assistant	2
Γαστρεντερολογικό Τμήμα	2026-01-04	Morning	Nurse	Head	2
Γαστρεντερολογικό Τμήμα	2026-01-04	Morning	Nurse	Nurse	8
Γαστρεντερολογικό Τμήμα	2026-01-04	Evening	Admin	Βοηθός Βάρδιας	2
Γαστρεντερολογικό Τμήμα	2026-01-04	Evening	Doctor	Νευρολόγος	1
Γαστρεντερολογικό Τμήμα	2026-01-04	Evening	Doctor	Ορθοπεδικός	2
Γαστρεντερολογικό Τμήμα	2026-01-04	Evening	Doctor	Παθολόγος	3
Γαστρεντερολογικό Τμήμα	2026-01-04	Evening	Doctor	Παιδίατρος	1
Γαστρεντερολογικό Τμήμα	2026-01-04	Evening	Nurse	Assistant	2
Γαστρεντερολογικό Τμήμα	2026-01-04	Evening	Nurse	Head	2
Γαστρεντερολογικό Τμήμα	2026-01-04	Evening	Nurse	Nurse	3
Γαστρεντερολογικό Τμήμα	2026-01-05	Morning	Admin	Βοηθός Βάρδιας	2
Γαστρεντερολογικό Τμήμα	2026-01-05	Morning	Doctor	Γυναικολόγος	3
Γαστρεντερολογικό Τμήμα	2026-01-05	Morning	Doctor	Δερματολόγος	1
Γαστρεντερολογικό Τμήμα	2026-01-05	Morning	Doctor	Ουρολόγος	1
Γαστρεντερολογικό Τμήμα	2026-01-05	Morning	Doctor	Παθολόγος	3
Γαστρεντερολογικό Τμήμα	2026-01-05	Morning	Doctor	Ψυχίατρος	1
Γαστρεντερολογικό Τμήμα	2026-01-05	Morning	Nurse	Assistant	2
Γαστρεντερολογικό Τμήμα	2026-01-05	Morning	Nurse	Head	2
Γαστρεντερολογικό Τμήμα	2026-01-05	Morning	Nurse	Nurse	8
Γαστρεντερολογικό Τμήμα	2026-01-05	Evening	Admin	Βοηθός Βάρδιας	2
Γαστρεντερολογικό Τμήμα	2026-01-05	Evening	Doctor	Νευρολόγος	1
Γαστρεντερολογικό Τμήμα	2026-01-05	Evening	Doctor	Ορθοπεδικός	2
Γαστρεντερολογικό Τμήμα	2026-01-05	Evening	Doctor	Παθολόγος	3
Γαστρεντερολογικό Τμήμα	2026-01-05	Evening	Doctor	Παιδίατρος	1
Γαστρεντερολογικό Τμήμα	2026-01-05	Evening	Nurse	Assistant	2
Γαστρεντερολογικό Τμήμα	2026-01-05	Evening	Nurse	Head	2
Γαστρεντερολογικό Τμήμα	2026-01-05	Evening	Nurse	Nurse	3
Δερματολογικό Τμήμα	2026-01-01	Morning	Admin	Βοηθός Βάρδιας	2
Δερματολογικό Τμήμα	2026-01-01	Morning	Doctor	Γυναικολόγος	1
Δερματολογικό Τμήμα	2026-01-01	Morning	Doctor	Ορθοπεδικός	1
Δερματολογικό Τμήμα	2026-01-01	Morning	Doctor	Παθολόγος	5
Δερματολογικό Τμήμα	2026-01-01	Morning	Doctor	Παιδίατρος	1
Δερματολογικό Τμήμα	2026-01-01	Morning	Nurse	Assistant	3
Δερματολογικό Τμήμα	2026-01-01	Morning	Nurse	Head	2
Δερματολογικό Τμήμα	2026-01-01	Morning	Nurse	Nurse	7
Δερματολογικό Τμήμα	2026-01-01	Evening	Admin	Βοηθός Βάρδιας	2
Δερματολογικό Τμήμα	2026-01-01	Evening	Doctor	Ορθοπεδικός	1
Δερματολογικό Τμήμα	2026-01-01	Evening	Doctor	Παθολόγος	3
Δερματολογικό Τμήμα	2026-01-01	Evening	Nurse	Assistant	2
Δερματολογικό Τμήμα	2026-01-01	Evening	Nurse	Head	1
Δερματολογικό Τμήμα	2026-01-01	Evening	Nurse	Nurse	12
Δερματολογικό Τμήμα	2026-01-02	Morning	Admin	Βοηθός Βάρδιας	2
Δερματολογικό Τμήμα	2026-01-02	Morning	Doctor	Γυναικολόγος	1
Δερματολογικό Τμήμα	2026-01-02	Morning	Doctor	Ορθοπεδικός	1
Δερματολογικό Τμήμα	2026-01-02	Morning	Doctor	Παθολόγος	5
Δερματολογικό Τμήμα	2026-01-02	Morning	Doctor	Παιδίατρος	1
Δερματολογικό Τμήμα	2026-01-02	Morning	Nurse	Assistant	3
Δερματολογικό Τμήμα	2026-01-02	Morning	Nurse	Head	2
Δερματολογικό Τμήμα	2026-01-02	Morning	Nurse	Nurse	7
Δερματολογικό Τμήμα	2026-01-02	Evening	Admin	Βοηθός Βάρδιας	2
Δερματολογικό Τμήμα	2026-01-02	Evening	Doctor	Ορθοπεδικός	1
Δερματολογικό Τμήμα	2026-01-02	Evening	Doctor	Παθολόγος	3
Δερματολογικό Τμήμα	2026-01-02	Evening	Nurse	Assistant	2
Δερματολογικό Τμήμα	2026-01-02	Evening	Nurse	Head	1
Δερματολογικό Τμήμα	2026-01-02	Evening	Nurse	Nurse	12
Δερματολογικό Τμήμα	2026-01-03	Morning	Admin	Βοηθός Βάρδιας	2
Δερματολογικό Τμήμα	2026-01-03	Morning	Doctor	Γυναικολόγος	1
Δερματολογικό Τμήμα	2026-01-03	Morning	Doctor	Ορθοπεδικός	1
Δερματολογικό Τμήμα	2026-01-03	Morning	Doctor	Παθολόγος	5
Δερματολογικό Τμήμα	2026-01-03	Morning	Doctor	Παιδίατρος	1
Δερματολογικό Τμήμα	2026-01-03	Morning	Nurse	Assistant	3
Δερματολογικό Τμήμα	2026-01-03	Morning	Nurse	Head	2
Δερματολογικό Τμήμα	2026-01-03	Morning	Nurse	Nurse	7
Δερματολογικό Τμήμα	2026-01-03	Evening	Admin	Βοηθός Βάρδιας	2
Δερματολογικό Τμήμα	2026-01-03	Evening	Doctor	Ορθοπεδικός	1
Δερματολογικό Τμήμα	2026-01-03	Evening	Doctor	Παθολόγος	3
Δερματολογικό Τμήμα	2026-01-03	Evening	Nurse	Assistant	2
Δερματολογικό Τμήμα	2026-01-03	Evening	Nurse	Head	1
Δερματολογικό Τμήμα	2026-01-03	Evening	Nurse	Nurse	12
Δερματολογικό Τμήμα	2026-01-04	Morning	Admin	Βοηθός Βάρδιας	2
Δερματολογικό Τμήμα	2026-01-04	Morning	Doctor	Γυναικολόγος	1
Δερματολογικό Τμήμα	2026-01-04	Morning	Doctor	Ορθοπεδικός	1
Δερματολογικό Τμήμα	2026-01-04	Morning	Doctor	Παθολόγος	5
Δερματολογικό Τμήμα	2026-01-04	Morning	Doctor	Παιδίατρος	1
Δερματολογικό Τμήμα	2026-01-04	Morning	Nurse	Assistant	3
Δερματολογικό Τμήμα	2026-01-04	Morning	Nurse	Head	2
Δερματολογικό Τμήμα	2026-01-04	Morning	Nurse	Nurse	7
Δερματολογικό Τμήμα	2026-01-04	Evening	Admin	Βοηθός Βάρδιας	2
Δερματολογικό Τμήμα	2026-01-04	Evening	Doctor	Ορθοπεδικός	1
Δερματολογικό Τμήμα	2026-01-04	Evening	Doctor	Παθολόγος	3
Δερματολογικό Τμήμα	2026-01-04	Evening	Nurse	Assistant	2
Δερματολογικό Τμήμα	2026-01-04	Evening	Nurse	Head	1
Δερματολογικό Τμήμα	2026-01-04	Evening	Nurse	Nurse	12
Δερματολογικό Τμήμα	2026-01-05	Morning	Admin	Βοηθός Βάρδιας	2
Δερματολογικό Τμήμα	2026-01-05	Morning	Doctor	Γυναικολόγος	1
Δερματολογικό Τμήμα	2026-01-05	Morning	Doctor	Ορθοπεδικός	1
Δερματολογικό Τμήμα	2026-01-05	Morning	Doctor	Παθολόγος	5
