Επίπεδο Επείγοντος	Συνολικά Περιστατικά Επιπέδου	Μέσος Χρόνος Αναμονής Επιπέδου (Λεπτά)	Τμήμα Παραπομπής	Πλήθος Παραπομπών στο Τμήμα	Ποσοστό Εισαγωγών στο Τμήμα (%)
1	39	6.85	Χωρίς Εισαγωγή	5	12.82
1	39	6.85	Ουρολογικό Τμήμα	5	12.82
1	39	6.85	Πνευμονολογικό Τμήμα	4	10.26
1	39	6.85	Καρδιολογικό Τμήμα	4	10.26
1	39	6.85	Ενδοκρινολογικό Τμήμα	3	7.69
1	39	6.85	Οφθαλμολογικό Τμήμα	3	7.69
1	39	6.85	Νευρολογικό Τμήμα	3	7.69
1	39	6.85	Παθολογικό Τμήμα	3	7.69
1	39	6.85	Ορθοπεδικό Τμήμα	2	5.13
1	39	6.85	Χειρουργικό Τμήμα	2	5.13
1	39	6.85	Ψυχιατρικό Τμήμα	2	5.13
1	39	6.85	ΩΡΛ Τμήμα	1	2.56
1	39	6.85	Δερματολογικό Τμήμα	1	2.56
1	39	6.85	Γαστρεντερολογικό Τμήμα	1	2.56
2	42	40.75	Χωρίς Εισαγωγή	6	14.29
2	42	40.75	ΩΡΛ Τμήμα	5	11.90
2	42	40.75	Δερματολογικό Τμήμα	5	11.90
2	42	40.75	Μονάδα Εντατικής Θεραπείας (ΜΕΘ)	5	11.90
2	42	40.75	Ψυχιατρικό Τμήμα	4	9.52
2	42	40.75	Ορθοπεδικό Τμήμα	2	4.76
2	42	40.75	Τμήμα Επειγόντων Περιστατικών (ΤΕΠ)	2	4.76
2	42	40.75	Οφθαλμολογικό Τμήμα	2	4.76
2	42	40.75	Γαστρεντερολογικό Τμήμα	2	4.76
2	42	40.75	Πνευμονολογικό Τμήμα	2	4.76
2	42	40.75	Ουρολογικό Τμήμα	2	4.76
2	42	40.75	Καρδιολογικό Τμήμα	2	4.76
2	42	40.75	Χειρουργικό Τμήμα	2	4.76
2	42	40.75	Παθολογικό Τμήμα	1	2.38
3	36	109.63	Οφθαλμολογικό Τμήμα	5	13.89
3	36	109.63	Παθολογικό Τμήμα	4	11.11
3	36	109.63	Γαστρεντερολογικό Τμήμα	4	11.11
3	36	109.63	Χωρίς Εισαγωγή	4	11.11
3	36	109.63	Νευρολογικό Τμήμα	3	8.33
3	36	109.63	Ενδοκρινολογικό Τμήμα	3	8.33
3	36	109.63	Καρδιολογικό Τμήμα	2	5.56
3	36	109.63	Τμήμα Επειγόντων Περιστατικών (ΤΕΠ)	2	5.56
3	36	109.63	Ουρολογικό Τμήμα	2	5.56
3	36	109.63	Χειρουργικό Τμήμα	2	5.56
3	36	109.63	Δερματολογικό Τμήμα	1	2.78
3	36	109.63	Ορθοπεδικό Τμήμα	1	2.78
3	36	109.63	ΩΡΛ Τμήμα	1	2.78
3	36	109.63	Πνευμονολογικό Τμήμα	1	2.78
3	36	109.63	Μονάδα Εντατικής Θεραπείας (ΜΕΘ)	1	2.78
4	40	265.26	Χωρίς Εισαγωγή	5	12.50
4	40	265.26	Ορθοπεδικό Τμήμα	4	10.00
4	40	265.26	Τμήμα Επειγόντων Περιστατικών (ΤΕΠ)	3	7.50
4	40	265.26	Μονάδα Εντατικής Θεραπείας (ΜΕΘ)	3	7.50
4	40	265.26	Ψυχιατρικό Τμήμα	3	7.50
4	40	265.26	Καρδιολογικό Τμήμα	3	7.50
4	40	265.26	Χειρουργικό Τμήμα	3	7.50
4	40	265.26	Γαστρεντερολογικό Τμήμα	3	7.50
4	40	265.26	ΩΡΛ Τμήμα	3	7.50
4	40	265.26	Δερματολογικό Τμήμα	2	5.00
4	40	265.26	Πνευμονολογικό Τμήμα	2	5.00
4	40	265.26	Παθολογικό Τμήμα	2	5.00
4	40	265.26	Νευρολογικό Τμήμα	2	5.00
4	40	265.26	Ενδοκρινολογικό Τμήμα	1	2.50
4	40	265.26	Ουρολογικό Τμήμα	1	2.50
5	43	277.06	Χωρίς Εισαγωγή	8	18.60
5	43	277.06	Γαστρεντερολογικό Τμήμα	5	11.63
5	43	277.06	Ενδοκρινολογικό Τμήμα	5	11.63
5	43	277.06	Τμήμα Επειγόντων Περιστατικών (ΤΕΠ)	3	6.98
5	43	277.06	Νευρολογικό Τμήμα	3	6.98
5	43	277.06	Ορθοπεδικό Τμήμα	3	6.98
5	43	277.06	ΩΡΛ Τμήμα	3	6.98
5	43	277.06	Ψυχιατρικό Τμήμα	2	4.65
5	43	277.06	Πνευμονολογικό Τμήμα	2	4.65
5	43	277.06	Ουρολογικό Τμήμα	2	4.65
5	43	277.06	Μονάδα Εντατικής Θεραπείας (ΜΕΘ)	2	4.65
5	43	277.06	Καρδιολογικό Τμήμα	1	2.33
5	43	277.06	Οφθαλμολογικό Τμήμα	1	2.33
5	43	277.06	Χειρουργικό Τμήμα	1	2.33
5	43	277.06	Δερματολογικό Τμήμα	1	2.33
5	43	277.06	Παθολογικό Τμήμα	1	2.33
