substance_name	allergic_patients_count	medications_count
Betula, Corylus Avellana, Alnus, Aluminium Hydroxide	1	1
Hydrogen Peroxide Solution (3% W/W)	1	3
Palbociclib	1	1
Chamomile	1	1
Betula Alba Pollen Extract, Alnus Glutinosa Pollen Extract, Corylus Avellana Pollen Extract	1	2
Ascorbic Acid, Paracetamol, Caffeine	1	1
Fluconazole	1	281
Zinc, Chromium, Cobalt, Copper, Iron, Magnesium, Manganese, Selenium, Molybdenum, Boron, Fluorine, Vanadium	1	3
Standardised Dry Extract From Cascara Sagrada (Der 4-6:1), Equivalent To 15 Mg Of Hydroxyanthracene Heterosides, Expressed As Cascarosides A, Extra...	1	1
Prasugrel Hydrobromide	1	4
Tenofovir Disoproxil Maleate, Tenofovir Disoproxil	1	1
Estazolam	1	7
Jalapa Dil. D4, Matricaria Recutita Dil. D3	1	1
Levomenthol, Cinnamon Bark Oil, Ceylon, Mint Oil, Partly Dementholised, Citronella Oil, Clove Oil, Lavender Oil, Lemon Oil	1	1
Alimemazine Tartrate	1	12
Calcium Polystyrene Sulfonate	1	13
Thuja Occidentalis Trit D1, Apis Mellifica Trit. D12, Echinacea Purpurea Trit. D1, Lachesis Mutus Trit. D8, Bryonia Trit. D2, Eupatorium Perfoliatu...	1	1
Ethanol (96 Per Cent), Povidone, Iodinated	1	3
Bacitracin, Polymyxin B Sulfate	1	1
Chelidonium Majus D4, Cinchona Pubescens D4, Citrullus Colocynthis D6, Lycopodium Clavatum D6, Silybum Marianum D4, Strychnos Nux-Vomica D4, Choles...	1	1
Clofoctol	1	1
Cyproterone Acetate, Estradiol Valerate	1	2
Metadoxine	1	1
Anhydrous Caffeine, Paracetamol Dc, Paracetamol Ph. Eur.	1	1
Bornaprine Hydrochloride	1	1
Milk Thistle Fruit Extract	1	5
Cinnamomum Camphora Bark Oil	1	1
Stibium Sulfuratum Aurantiacum D6, Psychotria Ipecacuanha D4, Bryonia D3, Eucalyptus Globulus D3, Drosera D6	1	3
Cimicifuga Racemosa Dil. D 2, Zincum Valerianicum Dil. D3, Agnus Castus Ø, Pulsatilla Dil. D4	1	1
Cardiospermum Mother Tincture	1	3
Ospemifene	1	1
Spinacia Oleracea	1	1
Sodium Molybdate Dihydrate, Zinc Chloride, Ferric Chloride Hexahydrate, Potassium Iodide, Sodium Fluoride, Chromium Chloride Hexahydrate, Copper Ch...	1	9
Stiripentol	1	6
Folic Acid Bp	1	2
Adrenaline Acid Tartrate Bp	1	1
Benzocaine, Permethrin, Benzyl Benzoate	1	1
Methyldibromo Glutaronitrile	1	1
Lidocaine Hydrochloride Monohydrate, Macrogol Lauryl Ether, Tincture Of Matricaria	1	1
Bryonia D10, Bryonia D1000, Bryonia D15, Bryonia D2, Bryonia D200, Bryonia D30, Bryonia D6, Citrullus Colocynthis D10, Citrullus Colocynthis D200, ...	1	2
Empagliflozin	1	31
Cefadroxil	1	10
Tincture From Crataegus Inflorescence (1:5), Extraction Solvent: Ethanol 60% (V/V), Convallaria Majalis Tincture (1:7-9), Extraction Solvent: Ethan...	1	2
Serenoa Repens Dil. D 1, Atropa Belladonna Dil. D3, Citrullus Colocynthis Dil. D3, Hydrangea Arborescens Dil. D2	1	1
Fluocortolone Pivalate, Anhydrous Lidocaine Hydrochloride	1	4
Zincum Chloratum D12, Calcium Sulfuricum D6, Cuprum Arsenicosum D12, Natrium Tetrachloroauratum D12, Calcarea Phosphorica D6, Magnesium Phosphoricu...	1	1
Phosphorus Dil. D5, Nitroglycerinum Dil. D6, Barium Chloratum Dil. D4, Arnica Dil. D3, Conium Dil. D5	1	1
Bacillus Calmette-Guérin (Bcg), Tice	1	1
Cetrimide, Chlorocresol, Urea, Dimeticone 350	1	1
Ginger Oil, Nutmeg Oil, Peppermint Oil, Cardamom Oil, Cinnamon Oil, Clove Oil, Eucalyptus Oil, Juniper Oil, Melissa Oil, Star Anise Oil, Pepper, Ka...	1	1
Varenicline Citrate	0	3
Anethole, Borneol, Camphene, Fenchone, Pinene, Cineole	0	1
Gelsemium Sempervirens C9, Strychnos Ignatii C9, Kalium Phosphoricum C15	0	1
Pancreatin, Trypsin, Amylase, Chymotrypsin, Lipase, Bromelains, Rutoside Trihydrate	0	1
Clioquinol	0	3
Dextromethorphan Hydrobromide, Doxylamine Hydrogen Succinate, Paracetamol	0	3
Levomenthol, Cajuput Oil, Eucalyptus Oil, Juniper Oil, Methyl Salicylate, Mint Oil, Caryophylli Floris Aetheroleum	0	1
Bacitracin, Papain, Lysozyme Hydrochloride	0	1
Hypericum Perforatum	0	11
Pressed Juice From Flowering Purple Coneflower Herb [1.7-2.5 : 1]	0	4
Strychnos Nux-Vomica D10, Calcium Carbonicum Hahnemanni D15, Natrium Phosphoricum D12	0	1
Econazole Nitrate, Triamcinolone Acetonide	0	3
Memantine Hydrochloride, Donepezil Hydrochloride	0	9
Calcium Chloride, Sodium Lactate Solution, Potassium Chloride, Sodium Chloride, Calcium Chloride Dihydrate	0	1
Tuna	0	8
Ambazone Monohydrate	0	9
Flupentixol Hydrochloride	0	4
Obeticholic Acid	0	1
Choline Salicylate Solution Bp	0	1
Damoctocog Alfa Pegol	0	1
L-Ornithine Oxoglutarate Monohydrate	0	1
Aspidium Filix-Mas, Spora Dil. D3, Argentum Metallicum Praeparatum Dil. D6, Conchae Dil. D7, Amanita Muscaria Dil. D8, Phosphorus Dil. D6	0	1
Human Coagulation Factor Viii, Human Von Willebrand Factor	0	19
Pneumococcal Polysaccharide Serotype 33f Conjugated To Crm197, Pneumococcal Polysaccharide Serotype 22f Conjugated To Crm197, Pneumococcal Polysacc...	0	1
Sofosbuvir	0	1
Dry Extract Of Dry Raw Pollen From Secale Cereale, Phleum Pratense And Zea Mays (30:1.5:1), Der Genuine 2.7-7.5:1, Extraction Solvents: Water, Acet...	0	1
Magnesium Phosphoricum Trit D2, Chamomilla Recutita Trit D2, Citrullus Colocynthis (Hab 34) Trit D3, Potentilla Anserina Mother Tincture, Aesculus ...	0	1
Bromocriptine	0	6
Rosuvastatin	0	254
Tinzaparin	0	1
Alantolactone, Costunolide, Dehydrocostus Lactone	0	1
Felis Domesticus (555)	0	3
Neisseria Meningitidis Group B Fhbp Protein Subfamily A, Neisseria Meningitidis Group B Fhbp Protein Subfamily B	0	1
Chelidonium Majus D4, Cinchona Pubescens D4, Citrullus Colocynthis D6, Lycopodium Clavatum D4, Silybum Marianum D4, Strychnos Nux-Vomica D4, Choles...	0	1
Arnica Montana, Planta Tota Rec., Ethanol. Extr. 1:1,1, Betulae Folium, Ethanol. Decoctum 20%, Formica, Glycerol. Extr. 1:3, Mandragora, Ethanol. D...	0	1
Cow Epithelia	0	2
Haemophilus Type B Conjugate Vaccine (Tetanus Toxoid Conjugate), N. Meningitidis Group C (Strain C11) Polysaccharide (De-O-Acetylated) Conjugated T...	0	1
Phenylephrine Hydrochloride, Ibuprofen Bp	0	6
Sodium Ascorbate, Magnesium Aspartate Dihydrate, L-Lysine Hydrochloride, L-Leucine, L-Valine, L-Phenylalanine	0	1
Doxepin	0	14
Luffa Operculata D5, Euphorbium D3, Schoenocaulon Officinale D4	0	1
Betamethasone, Salicylic Acid	0	9
Juice From Purple Coneflower Herb	0	1
Rauwolfia Serpentina D3, Cactus Dil. D1, Viscum Album Mother Tincture, Crataegus Mother Tincture	0	1
Tezacaftor, Elexacaftor, Ivacaftor	0	1
Acidum Arsenicosum Dil. D12, Colocynthis Dil. D12, Ranunculus Bulbosus Dil. D2, Rhus Toxicodendron Dil. D30	0	1
Ethanolamine	0	1
Mixture Of Allergen Extracts From alnus Spp., Fraxinus Spp., Fagus Spp., Betula Spp., Ulmus Spp., Corylus Spp., Quercus Spp., Planatus Spp., Populu...	0	1
Carvedilol	0	113
Viscum Album Fraxini Ex Herba Recente Col. D20	0	1
Apis Mellifica Dil. D6	0	1
Glasdegib	0	1
Passiflora Incarnata Dil. D 3, Zincum Isovalerianicum Dil. D 6, Avena Sativa Dil. D3, Humulus Lupulus Dil. D3	0	1
Codeine Phosphate Hemihydrate Pheur, Ibuprofen Ph. Eur.	0	1
Dimenhydrinate, Chlorobutanol Hemihydrate	0	2
Lidocaine Hydrochloride Monohydrate, Tribenoside	0	2
Benralizumab	0	1
Indapamide, Perindopril Arginine	0	67
Protamine Hydrochloride	0	6
Suxamethonium Chloride - Bp	0	2
Epinephrine Bitartrate, Anhydrous Lidocaine Hydrochloride	0	1
Mesenchym Bovis Gl Dil. D4 (Hab, Vs. 41b)	0	1
Calendula Mother Tincture, Conium Dil. D2, Mercurius Bijodatus Trit. D5, Stibium Sulfuratum Nigrum Trit. D2	0	1
Valeriana Officinalis L. Root Dry Extract, Passiflora Incarnata Dry Extract, Crataegus Oxyacantha Dry Extract	0	1
Ammonium Bituminosulfonate Concentrate	0	1
Fraxinus Excelsior	0	3
Ovarium Suis D10, Ovarium Suis D200, Ovarium Suis D30	0	1
Cinis E Fructibus Avenae Sativae Cum Magnesio Phosphorico (1:1) Dil. D5 (Hab, Vs. 6), Cerit Dil. D5 (Hab, Vs. 6), Cor Bovis Gl Dil. D7 (Hab, Vs. 41...	0	1
Desoximetasone	0	3
Lavandulae Aetheroleum 10 %	0	1
Aurum Metallicum Trit. D3, Myrrh, Olibanum	0	1
Hydrocortisone Acetate, Phenylephrine Hydrochloride, Tetracaine Hydrochloride, Lidocaine Hydrochloride	0	1
Potassium Chloride, Sodium Chloride, Sodium Lactate 60%	0	2
Spiramycin, Metronidazole	0	19
Dry Pressed Juitce From Fresh Purple Coneflower Herb (22-65:1)	0	2
Matricariae Flos, Menthae Piperitae Folium, Millefolii Herba	0	3
Cactus Mother Tincture, Strophanthus Gratus Dil. D2, Aurum Metallicum Dil. D6	0	1
Sanguinaria Canadensis D8, Phytolacca Americana D2, Chelidonium Majus D8, Marsdenia Cundurango D2, Calendula Officinalis Mother Tincture, Acidum Ar...	0	1
Tribenoside	0	1
Aloin	0	1
Fidaxomicin	0	5
Niraparib, Abiraterone Acetate	0	1
Chlorhexidine Gluconate, Isopropyl Alcohol Ph. Eur.	0	2
Cyanocobalamin, Folic Acid, Pyridoxine	0	1
Ascorbic Acid, Biotin, Calcium Pantothenate, Cyanocobalamin, Nicotinamide, Riboflavin, Thiamine Nitrate, Pyridoxine Hydrochloride	0	1
Heparin Sodium, Dexpanthenol, Allantoin	0	1
Pioglitazone Hydrochloride, Metformin Hydrochloride Ph. Eur.	0	2
Sodium Hydrogen Carbonate, Magnesium Chloride Hexahydrate, Sodium Chloride, Calcium Chloride Dihydrate, Glucose Monohydrate, Sodium Lactate	0	2
Dry Extract From Fresh St. John's Wort	0	1
Magnesium Chloride Hexahydrate, Potassium Chloride, Sodium Chloride, Calcium Chloride Dihydrate, Gelatine Polysuccinate, Sodium Acetate Trihydrate	0	2
Bismuth Subsalicylate	0	3
Rhubarb Extract, Sennae Folium, Carbo Vegetabilis	0	1
Tiaprofenic Acid	0	4
Aconitum Napellus E Tubere Ferm 33c Dil. D3 (Hab, Vs. 33c), Bryonia Cretica Ferm 33b Dil. D3, Cinchona Succirubra E Cortice Ferm 35b Dil. D2 (Hab, ...	0	1
Exemestane	0	107
Naldemedine	0	1
Cemiplimab	0	1
Zilucoplan	0	1
Argentum Nitricum Dil. D19 Aquos. (Hab, Vs. 5b), Kalium Bichromicum Dil. D5 Aquos. (Hab, Vs. 5b), Myristica Sebifera, Succus E Cortice Dil. D3 [hab...	0	1
Colon Suis D10, Colon Suis D200, Colon Suis D30	0	1
