Department_Name	Admission_Year	KEN_Code	Insurance_Carrier	Total_Admissions	Total_Basic_Cost_KEN	Total_Additional_Charge	Total_Revenue
Γαστρεντερολογικό Τμήμα	2025	S01Χ	ΟΠΑΔ	1	1334.00	445556.000000	448441.39
Γαστρεντερολογικό Τμήμα	2025	Δ13Χ	ΟΠΑΔ	1	915.00	228.750000	1944.65
Γαστρεντερολογικό Τμήμα	2025	Ε10Α	ΟΠΑΔ	1	94009.00	0.000000	95836.72
Γαστρεντερολογικό Τμήμα	2025	Λ02Μ	ΟΠΑΔ	1	1743.00	1743.000000	4570.14
Γαστρεντερολογικό Τμήμα	2025	Μ69Μ	ΟΠΑΔ	1	1533.00	0.000000	2472.57
Γαστρεντερολογικό Τμήμα	2025	Ρ10Χ	Ιδιωτική Ασφάλεια	1	1473.00	98059.714285	100289.33
Γαστρεντερολογικό Τμήμα	2024	Α35Μβ	ΕΦΚΑ	1	973.00	1362.200000	3582.65
Γαστρεντερολογικό Τμήμα	2024	Δ24Μ	ΟΠΑΔ	1	1619.00	359.777778	2861.20
Γαστρεντερολογικό Τμήμα	2024	Θ24Χ	ΟΠΑΔ	1	669.00	669.000000	2706.71
Γαστρεντερολογικό Τμήμα	2024	Μ02Μ	Ανασφάλιστος	1	9110.00	0.000000	10469.34
Γαστρεντερολογικό Τμήμα	2024	Μ04Μ	Ιδιωτική Ασφάλεια	1	7042.00	550840.888889	558447.14
Γαστρεντερολογικό Τμήμα	2024	Ν38Χ	ΟΠΑΔ	1	879.00	0.000000	1480.88
Γαστρεντερολογικό Τμήμα	2024	Υ20Μβ	ΤΥΠΕΤ	1	1300.00	433.333333	2452.57
Γαστρεντερολογικό Τμήμα	2023	Θ09Χβ	ΤΥΠΕΤ	1	1765.00	604806.666666	608342.95
Γαστρεντερολογικό Τμήμα	2023	Κ15Μ	ΕΦΚΑ	1	2728.00	0.000000	4199.13
Γαστρεντερολογικό Τμήμα	2023	Ν24Μ	Ανασφάλιστος	1	2389.00	196449.307692	200267.71
Γαστρεντερολογικό Τμήμα	2023	Ν30Α	ΤΥΠΕΤ	1	420.00	1050.000000	2587.47
Γαστρεντερολογικό Τμήμα	2023	Ν34Χ	Ανασφάλιστος	1	1012.00	218794.400000	220544.77
Γαστρεντερολογικό Τμήμα	2023	Υ21Α	Ανασφάλιστος	1	231.00	236082.000000	237255.54
Δερματολογικό Τμήμα	2025	Θ21Α	ΕΦΚΑ	1	2599.00	0.000000	3443.20
Δερματολογικό Τμήμα	2025	Ν24Μ	ΤΥΠΕΤ	1	2389.00	0.000000	3208.41
Δερματολογικό Τμήμα	2024	Π46Α	Ιδιωτική Ασφάλεια	1	327.00	981.000000	2547.03
Δερματολογικό Τμήμα	2023	S25Α	Ιδιωτική Ασφάλεια	1	1082.00	1082.000000	3213.15
Δερματολογικό Τμήμα	2023	Γ07Α	ΕΦΚΑ	1	742.00	746452.000000	748741.07
Δερματολογικό Τμήμα	2023	Ε12Α	ΤΥΠΕΤ	1	6414.00	2058894.000000	2066835.97
Δερματολογικό Τμήμα	2023	Η42Μ	ΕΦΚΑ	1	1938.00	237405.000000	240137.65
Δερματολογικό Τμήμα	2023	Μ23Α	Ανασφάλιστος	1	661.00	5949.000000	7990.18
Δερματολογικό Τμήμα	2023	Φ64Χ	Ιδιωτική Ασφάλεια	1	303.00	272094.000000	273019.44
Δερματολογικό Τμήμα	2023	Ω31Α	ΕΦΚΑ	1	444.00	666.000000	2809.44
Ενδοκρινολογικό Τμήμα	2025	S23Μ	ΟΠΑΔ	1	2039.00	0.000000	2706.60
Ενδοκρινολογικό Τμήμα	2025	Φ04Χ	Ιδιωτική Ασφάλεια	1	5558.00	196045.818182	203332.88
Ενδοκρινολογικό Τμήμα	2024	Κ18Μ	Ανασφάλιστος	1	2226.00	1272.000000	3911.17
Ενδοκρινολογικό Τμήμα	2024	Μ13Χ	ΤΥΠΕΤ	1	2083.00	3645.250000	6522.72
Ενδοκρινολογικό Τμήμα	2024	Μ76Χ	ΤΥΠΕΤ	1	389.00	1167.000000	3098.33
Ενδοκρινολογικό Τμήμα	2023	G01Μβ	ΕΦΚΑ	1	3573.00	397.000000	5333.34
Ενδοκρινολογικό Τμήμα	2023	Δ12Μ	Ιδιωτική Ασφάλεια	1	4871.00	0.000000	5715.86
Ενδοκρινολογικό Τμήμα	2023	Ε12Α	ΤΥΠΕΤ	1	6414.00	10690.000000	17982.91
Ενδοκρινολογικό Τμήμα	2023	Θ23Χ	Ιδιωτική Ασφάλεια	1	405.00	810.000000	1696.31
Ενδοκρινολογικό Τμήμα	2023	Λ04Χ	Ιδιωτική Ασφάλεια	1	571.00	1998.500000	3949.11
Ενδοκρινολογικό Τμήμα	2023	Χ41Α	Ανασφάλιστος	1	3066.00	168484.000000	172041.88
Ενδοκρινολογικό Τμήμα	2023	Ω04Μ	ΤΥΠΕΤ	1	3125.00	685156.250000	689418.85
Καρδιολογικό Τμήμα	2023	Η23Μ	Ιδιωτική Ασφάλεια	1	2552.00	0.000000	3503.49
Καρδιολογικό Τμήμα	2023	Η42Χ	ΤΥΠΕΤ	1	708.00	1416.000000	3210.03
Καρδιολογικό Τμήμα	2023	Κ34Μ	ΤΥΠΕΤ	1	2233.00	0.000000	3114.25
Καρδιολογικό Τμήμα	2023	Μ25Χ	Ανασφάλιστος	1	1260.00	2520.000000	4453.43
Καρδιολογικό Τμήμα	2023	Μ68Α	ΟΠΑΔ	1	151.00	1208.000000	1867.03
Καρδιολογικό Τμήμα	2023	Ν30Μα	Ανασφάλιστος	1	3408.00	0.000000	4646.87
Καρδιολογικό Τμήμα	2023	Ο05Α	ΕΦΚΑ	1	896.00	7168.000000	9659.63
Καρδιολογικό Τμήμα	2023	Φ04Χ	ΕΦΚΑ	1	5558.00	0.000000	6502.47
Καρδιολογικό Τμήμα	2022	Κ32Χ	Ιδιωτική Ασφάλεια	1	1089.00	2178.000000	4012.74
Καρδιολογικό Τμήμα	2022	Ν27Μα	Ανασφάλιστος	1	2529.00	0.000000	3854.82
Καρδιολογικό Τμήμα	2022	Ρ24Μα	ΟΠΑΔ	1	3773.00	0.000000	4465.29
Καρδιολογικό Τμήμα	2022	Τ20Μ	ΟΠΑΔ	1	244.00	854.000000	2592.79
Καρδιολογικό Τμήμα	2022	Υ03Μα	Ανασφάλιστος	1	6431.00	0.000000	7231.72
Μονάδα Εντατικής Θεραπείας (ΜΕΘ)	2025	Α26Μβ	Ιδιωτική Ασφάλεια	1	1175.00	705.000000	3576.07
Μονάδα Εντατικής Θεραπείας (ΜΕΘ)	2025	Ε03Α	Ανασφάλιστος	1	50379.00	404471.400000	456275.09
Μονάδα Εντατικής Θεραπείας (ΜΕΘ)	2025	Η02Μβ	ΟΠΑΔ	1	2578.00	0.000000	3557.52
Μονάδα Εντατικής Θεραπείας (ΜΕΘ)	2025	Υ20Μα	ΟΠΑΔ	1	2934.00	0.000000	4315.71
Μονάδα Εντατικής Θεραπείας (ΜΕΘ)	2024	Ε06Μ	Ανασφάλιστος	1	39863.00	0.000000	40875.14
Μονάδα Εντατικής Θεραπείας (ΜΕΘ)	2024	Κ32Μ	Ιδιωτική Ασφάλεια	1	2062.00	773.250000	3802.42
Μονάδα Εντατικής Θεραπείας (ΜΕΘ)	2024	Ο21Μ	Ιδιωτική Ασφάλεια	1	934.00	747.200000	2932.10
Μονάδα Εντατικής Θεραπείας (ΜΕΘ)	2023	Β04Α	Ανασφάλιστος	1	652.00	7172.000000	9364.00
Μονάδα Εντατικής Θεραπείας (ΜΕΘ)	2023	Γ09Α	Ιδιωτική Ασφάλεια	1	418.00	418.000000	2395.51
Μονάδα Εντατικής Θεραπείας (ΜΕΘ)	2023	Κ39Χ	Ιδιωτική Ασφάλεια	1	327.00	201268.500000	202196.67
Μονάδα Εντατικής Θεραπείας (ΜΕΘ)	2023	Ω31Α	ΟΠΑΔ	1	444.00	444.000000	1663.37
Νευρολογικό Τμήμα	2025	Δ23Μ	ΤΥΠΕΤ	1	965.00	93412.000000	95447.53
Νευρολογικό Τμήμα	2025	Θ03Α	ΤΥΠΕΤ	1	3297.00	1099.000000	4799.60
Νευρολογικό Τμήμα	2025	Κ42Χ	Ιδιωτική Ασφάλεια	1	934.00	57347.600000	58898.67
Νευρολογικό Τμήμα	2025	Μ09Μ	ΟΠΑΔ	1	14720.00	0.000000	16523.73
Νευρολογικό Τμήμα	2025	Μ68Α	ΟΠΑΔ	1	151.00	49981.000000	51183.04
Νευρολογικό Τμήμα	2024	Ζ21Α	ΕΦΚΑ	1	848.00	183168.000000	185016.53
Νευρολογικό Τμήμα	2024	Ν35Α	ΟΠΑΔ	1	350.00	291200.000000	293223.79
Νευρολογικό Τμήμα	2024	Τ21Α	Ανασφάλιστος	1	41579.00	0.000000	42896.01
Νευρολογικό Τμήμα	2023	Ε09Β	ΤΥΠΕΤ	1	9669.00	1208.625000	11813.62
Νευρολογικό Τμήμα	2023	Θ21Α	ΤΥΠΕΤ	1	2599.00	0.000000	3728.32
Νευρολογικό Τμήμα	2023	Κ33Χ	ΤΥΠΕΤ	1	669.00	267.600000	2111.61
Νευρολογικό Τμήμα	2023	Μ03Χ	ΕΦΚΑ	1	6411.00	0.000000	7328.48
Νευρολογικό Τμήμα	2023	Μ04Μ	ΤΥΠΕΤ	1	7042.00	782.444444	8663.54
Νευρολογικό Τμήμα	2023	Ν36Μ	ΕΦΚΑ	1	1486.00	223642.999999	226146.55
Ορθοπεδικό Τμήμα	2025	Α20Μ	Ιδιωτική Ασφάλεια	1	3696.00	67380.923077	71928.47
Ορθοπεδικό Τμήμα	2025	Ε05Α	ΕΦΚΑ	1	34279.00	238239.050000	274153.22
Ορθοπεδικό Τμήμα	2025	Θ06Χ	ΟΠΑΔ	1	1581.00	234778.500000	237579.15
Ορθοπεδικό Τμήμα	2025	Θ24Χ	Ανασφάλιστος	1	669.00	3010.500000	5025.05
Ορθοπεδικό Τμήμα	2025	Κ43Μ	ΤΥΠΕΤ	1	1471.00	735.500000	3191.40
Ορθοπεδικό Τμήμα	2025	Χ46Α	ΟΠΑΔ	1	4171.00	0.000000	5683.05
